iter	TotalF1:average=Macro	MultiClass
0	0.4528706372	1.409084544
1	0.4668802236	1.324445325
2	0.4802745642	1.264885884
3	0.4802085062	1.229445245
4	0.4840734032	1.204240841
5	0.4952481259	1.177775666
6	0.4957657934	1.16054861
7	0.4986234066	1.149471356
8	0.5000090977	1.140499238
9	0.4997432495	1.13193749
10	0.5015799414	1.126224959
11	0.5068703364	1.120559603
12	0.5089938759	1.115868115
13	0.5096291955	1.111949258
14	0.5113315607	1.11022971
15	0.5151714141	1.106856024
16	0.5169280909	1.101474691
17	0.5172775042	1.098396835
18	0.5185053312	1.096985272
19	0.5189898581	1.092621432
20	0.5205067262	1.09136352
21	0.520449015	1.090998597
22	0.5211365208	1.089024435
23	0.5232908907	1.088113181
24	0.5251522883	1.086271644
25	0.5262324176	1.085194577
26	0.5273337955	1.084012528
27	0.526054128	1.082349822
28	0.5257561474	1.080295197
29	0.5262391852	1.079785859
30	0.5273663392	1.078847989
31	0.5285260934	1.078637923
32	0.5292192425	1.076344175
33	0.5297330262	1.0748106
34	0.5319242991	1.07206592
35	0.5338984034	1.070359088
36	0.5341266343	1.068788398
37	0.5346697594	1.068642459
38	0.5340272143	1.067371606
39	0.5349671083	1.066123744
40	0.535257593	1.065523094
41	0.5356201855	1.065097867
42	0.535955968	1.064311885
43	0.5352344517	1.064138247
44	0.5370995209	1.062951755
45	0.5374727875	1.060823771
46	0.5374722605	1.060823702
47	0.5373604165	1.060659441
48	0.5374989589	1.059653281
49	0.5379183961	1.059318762
50	0.5382070416	1.059059467
51	0.5411398519	1.057183702
52	0.5395751773	1.056968586
53	0.5397781691	1.056635553
54	0.5398401297	1.056414097
55	0.5404130631	1.055900022
56	0.5412707665	1.054276996
57	0.5433585497	1.053216754
58	0.5432837904	1.053138132
59	0.5445276356	1.052354324
60	0.5446152536	1.051787584
61	0.5450271489	1.051504251
62	0.5461130541	1.049991863
63	0.5472330688	1.048366925
64	0.5480973405	1.047220156
65	0.5473231718	1.046038555
66	0.5483672397	1.044392899
67	0.5491537709	1.043818308
68	0.5497316681	1.042340472
69	0.5520891786	1.041104219
70	0.5520066466	1.03983317
71	0.5552195479	1.038104281
72	0.5567681341	1.036022998
73	0.5574546264	1.035228685
74	0.5588271625	1.033556994
75	0.559971195	1.032454435
76	0.5604310933	1.030824119
77	0.5621720092	1.029244051
78	0.5631402087	1.028090226
79	0.5638858979	1.026607103
80	0.5640197385	1.025629008
81	0.5632727209	1.024215987
82	0.5639660905	1.023264981
83	0.5649032663	1.02258419
84	0.5647614108	1.021632814
85	0.5654513558	1.02090393
86	0.5654617547	1.020367827
87	0.5674748549	1.018887302
88	0.5688874145	1.017186328
89	0.5689590056	1.016824588
90	0.5695700249	1.016203153
91	0.5708046484	1.015095125
92	0.5708682598	1.014064784
93	0.5714837224	1.013550789
94	0.5715723592	1.013482332
95	0.572454054	1.012686458
96	0.573105035	1.011891219
97	0.5735476251	1.011417249
98	0.5747866112	1.010669297
99	0.5747010969	1.00995829
100	0.5752642975	1.009448643
101	0.5756277623	1.009009031
102	0.5759859576	1.00820796
103	0.5772317523	1.007464159
104	0.577472423	1.007327151
105	0.5771845302	1.006525158
106	0.5785746778	1.005502668
107	0.5794426778	1.005114492
108	0.579919764	1.004249071
109	0.5805491155	1.003662343
110	0.5803361961	1.003118609
111	0.5807888336	1.002537362
112	0.580987641	1.002416203
113	0.5808465979	1.001748435
114	0.5813934258	1.001058787
115	0.5814325753	1.000690064
116	0.5820671835	1.000203649
117	0.582324734	0.999621808
118	0.5822119665	0.9994945609
119	0.5822305042	0.9985432546
120	0.5822083782	0.998157652
121	0.582939148	0.9975253534
122	0.5836184206	0.996824555
123	0.5840652232	0.9964829593
124	0.5840052993	0.9958185557
125	0.584443287	0.9949737834
126	0.5850853192	0.9947139322
127	0.5862861447	0.9935592788
128	0.5863522665	0.99306074
129	0.5869804081	0.9922581809
130	0.5866647008	0.9919116781
131	0.5879609448	0.9911614102
132	0.5877039834	0.990976338
133	0.5880866235	0.9907757904
134	0.5890654672	0.9898539199
135	0.5893351181	0.9890053246
136	0.5890590134	0.9886810923
137	0.5893001198	0.9883629208
138	0.5894215446	0.9881932516
139	0.5897366629	0.9880461335
140	0.5903883237	0.9874617013
141	0.5916543341	0.9866272523
142	0.5920224591	0.9863405806
143	0.5923383363	0.9858126101
144	0.5930855032	0.9851589681
145	0.5937270707	0.9842307964
146	0.594134793	0.9839464488
147	0.5943157411	0.9835150656
148	0.5941169866	0.9827690644
149	0.5945522139	0.9820527182
150	0.5944159722	0.981624724
151	0.5945516655	0.9812257045
152	0.5948486402	0.9807312235
153	0.5948010878	0.9806672309
154	0.594749329	0.9804235351
155	0.5959366679	0.9795551312
156	0.5961140106	0.9794246775
157	0.596119574	0.9788975989
158	0.5962859418	0.9787194775
159	0.5967892234	0.9775137979
160	0.5977691743	0.976862189
161	0.5985341022	0.9762894175
162	0.5986826172	0.9759307089
163	0.5985813396	0.9750631963
164	0.5987169578	0.9745931851
165	0.5991096076	0.9743660437
166	0.5993265129	0.974183655
167	0.5994333014	0.9738814479
168	0.5996450047	0.9736205924
169	0.5997362701	0.9735213127
170	0.599521427	0.9732784792
171	0.5997389316	0.9728607406
172	0.6001589506	0.9721590132
173	0.6011995909	0.9712907598
174	0.6009499246	0.9709676255
175	0.6007550533	0.9707447557
176	0.6011077467	0.9703338336
177	0.601216704	0.96965521
178	0.6015772218	0.9692460851
179	0.6020568327	0.9686596037
180	0.602479048	0.9677112485
181	0.6034556768	0.9671590593
182	0.603594577	0.9670255627
183	0.6045212242	0.9665799799
184	0.6045731784	0.9660088869
185	0.6051848212	0.9655557219
186	0.6054350322	0.9651501527
187	0.6054801798	0.9650165294
188	0.6057453525	0.9645976489
189	0.606198085	0.9642137903
190	0.6062798986	0.9640331817
191	0.6071402022	0.963368843
192	0.6070752954	0.9630498717
193	0.607159824	0.9628620268
194	0.6069830175	0.9623916426
195	0.6072133981	0.9622995294
196	0.6075660992	0.9620294705
197	0.6077276348	0.9617144168
198	0.60780444	0.9613773955
199	0.6080309647	0.9608893317
200	0.6083369172	0.960321908
201	0.6089215917	0.9599217348
202	0.6095048066	0.9595247838
203	0.6093271214	0.9590650963
204	0.6097640645	0.9587377641
205	0.610241021	0.9581673153
206	0.6100510789	0.9576849188
207	0.6098486759	0.957300891
208	0.6102443797	0.9568676397
209	0.610693746	0.9563289549
210	0.6102548244	0.9559059178
211	0.6107479651	0.9555783825
212	0.6108400669	0.9553771502
213	0.6110149653	0.9549791633
214	0.6114866507	0.954716176
215	0.6119967332	0.9541652603
216	0.6133331869	0.9535827604
217	0.6136940914	0.9530490208
218	0.6135522675	0.9528312974
219	0.6137295417	0.9524333931
220	0.614256689	0.9520765413
221	0.613671861	0.9518432787
222	0.614124014	0.9514076816
223	0.6143561456	0.9512381656
224	0.6147041341	0.9510856584
225	0.6149526292	0.9506325549
226	0.6145385218	0.9501160841
227	0.6147609827	0.9498279704
228	0.6153884799	0.9491080348
229	0.6151808231	0.9487640775
230	0.6157926612	0.9484182262
231	0.6162232165	0.9479626267
232	0.6167563587	0.9476897938
233	0.6168976038	0.9472375305
234	0.6167090905	0.9470907748
235	0.6168957184	0.9469769194
236	0.6170488549	0.9467993609
237	0.6170215105	0.9463535547
238	0.6169850709	0.9462123994
239	0.6166817327	0.9459076768
240	0.6172627757	0.9454413775
241	0.6180902352	0.9449537537
242	0.6188060394	0.9446442768
243	0.6189048555	0.9442867655
244	0.6190042027	0.9441497468
245	0.618604045	0.9437090632
246	0.6190947123	0.9433274922
247	0.6192081127	0.9430326756
248	0.6194766266	0.9427887233
249	0.6195973744	0.9425427018
250	0.6195537769	0.9424299264
251	0.6198421918	0.9421950772
252	0.6204187185	0.9417290117
253	0.6198856119	0.9412847971
254	0.6202672123	0.9408564552
255	0.6208357482	0.9407377076
256	0.6210830418	0.9404059641
257	0.6216063888	0.9398841792
258	0.6214792734	0.9391492523
259	0.6213005131	0.9388350499
260	0.6220326	0.9383332341
261	0.6222310093	0.9382100608
262	0.6222791818	0.9380876184
263	0.6226600533	0.9377475005
264	0.6230038924	0.9372623977
265	0.6233789875	0.9369502393
266	0.6233170099	0.9367088115
267	0.6237806035	0.9362517865
268	0.6241342606	0.9357594196
269	0.624333482	0.9355612208
270	0.6242037297	0.9353778578
271	0.6243064978	0.9349966898
272	0.624424931	0.9344945895
273	0.624237174	0.9341126756
274	0.6244225418	0.9337873311
275	0.6248495332	0.9333740905
276	0.6251976107	0.9331215453
277	0.6251915459	0.9327631607
278	0.6263357851	0.9324467756
279	0.6260351256	0.9320774738
280	0.6261134735	0.931461056
281	0.6263574103	0.9312083353
282	0.6267276442	0.9307627304
283	0.6270054033	0.9307318372
284	0.6272423533	0.9305000821
285	0.6272272914	0.9302125662
286	0.6273092696	0.9300787712
287	0.627008573	0.9297554024
288	0.6269835167	0.9295799076
289	0.6273171658	0.9291242051
290	0.6275233807	0.9285997402
291	0.6278468122	0.9283546139
292	0.6284113087	0.9279629781
293	0.62844119	0.927670101
294	0.6285882955	0.9274080239
295	0.6290581053	0.9271822542
296	0.6293229184	0.9268919535
297	0.6293573054	0.9266255116
298	0.6296574445	0.9263845321
299	0.6300931379	0.9258719076
300	0.6302693779	0.9257932183
301	0.6304015765	0.9254011174
302	0.6309739384	0.9250936696
303	0.6309893699	0.9245518144
304	0.6317328664	0.9240441138
305	0.6319696481	0.9234943203
306	0.6317375887	0.9233311051
307	0.6318564353	0.9231598071
308	0.6324553935	0.9227508324
309	0.6330791829	0.9226081425
310	0.6332278874	0.9222948142
311	0.6333246745	0.9221232604
312	0.6325950658	0.9217057725
313	0.6327822071	0.9212373941
314	0.6332559014	0.9206465678
315	0.6338933	0.9196810037
316	0.6341649676	0.9193507345
317	0.6345543444	0.9190731328
318	0.6346708701	0.9190226268
319	0.6341947693	0.9185556677
320	0.6342248091	0.9182845783
321	0.6348437362	0.9177876386
322	0.6351085764	0.9174023912
323	0.6350527628	0.9172028047
324	0.6350202342	0.9169088665
325	0.635642333	0.9164595595
326	0.6355707336	0.9162571041
327	0.6359694761	0.915990026
328	0.6363012626	0.9156443003
329	0.6364004767	0.9154952501
330	0.6367159485	0.9152601502
331	0.6366789207	0.9148248073
332	0.6366283705	0.9145303937
333	0.6367211759	0.914080618
334	0.6369961232	0.9138499756
335	0.6376161227	0.9133707998
336	0.6376807746	0.9129047025
337	0.6378672781	0.9127760357
338	0.6380943948	0.9125172987
339	0.6386971744	0.9121124583
340	0.6388944936	0.911658527
341	0.6386175201	0.9112515413
342	0.6386872301	0.911101665
343	0.6387206329	0.9109272626
344	0.6385595898	0.9106109172
345	0.6391241076	0.9102241169
346	0.6389119399	0.9100587052
347	0.63910528	0.909501811
348	0.639418845	0.9091294831
349	0.6396347077	0.9087723944
350	0.6397706552	0.908430013
351	0.6398219072	0.9082311237
352	0.640017573	0.9081420102
353	0.6403355298	0.907731651
354	0.6402451844	0.9076017502
355	0.6403285705	0.9074215753
356	0.6406317344	0.9070945803
357	0.6404052919	0.9067193326
358	0.6412160107	0.9062972403
359	0.6413835486	0.9061859419
360	0.6416939277	0.9059279372
361	0.6416412051	0.9056575298
362	0.6418809264	0.9051910752
363	0.6416808058	0.9048164425
364	0.6420562284	0.9043728057
365	0.6419975133	0.904155411
366	0.6423015311	0.9039753124
367	0.6426753617	0.9037868729
368	0.6426909273	0.9033577145
369	0.6426532329	0.9030384864
370	0.6429211843	0.9025488527
371	0.6429815499	0.9023536261
372	0.6426303264	0.9019176066
373	0.6427883793	0.901807816
374	0.6430844684	0.9016928028
375	0.6432895912	0.901545599
376	0.6434553607	0.9012136984
377	0.6434637503	0.9009683502
378	0.6434141354	0.9007255251
379	0.6434530223	0.9004044273
380	0.6432026538	0.9000777178
381	0.6434780923	0.9000482671
382	0.643868944	0.8998939574
383	0.6438287095	0.8994233541
384	0.6436691056	0.8990902985
385	0.6443510395	0.8988434093
386	0.6445531512	0.8984394981
387	0.6448577969	0.8982554162
388	0.6451546861	0.8979343081
389	0.6455911967	0.8975909327
390	0.6455347757	0.8971239997
391	0.6457012009	0.8969057508
392	0.6459152745	0.8966234829
393	0.6461694328	0.8963510359
394	0.6467381209	0.8961212905
395	0.6467581638	0.8957784696
396	0.6468369897	0.8956157304
397	0.6469168714	0.8952864683
398	0.6481458073	0.8948969941
399	0.6482288978	0.8947245174
400	0.6484846455	0.8944198513
401	0.6486514472	0.8941610947
402	0.6488455557	0.8939596795
403	0.6490263272	0.8938047079
404	0.6490804192	0.8937020211
405	0.6494049504	0.8934579801
406	0.6492936546	0.8931816541
407	0.6494796607	0.8929767906
408	0.6499590197	0.8927161856
409	0.6498766335	0.8922455676
410	0.6498511875	0.891959323
411	0.6496454296	0.8916820163
412	0.6497278858	0.8915811688
413	0.6498901282	0.8914944309
414	0.6499391133	0.891316125
415	0.6502411188	0.8908812461
416	0.6500586976	0.8906201892
417	0.6500522955	0.8905808065
