iter	Passed	Remaining
0	1801	898735
1	3330	829240
2	4799	795121
3	6042	749245
4	7248	717574
5	8661	713142
6	10075	709628
7	10779	662913
8	11696	638120
9	12721	623334
10	14180	630408
11	15719	639272
12	17068	639429
13	18716	649736
14	20175	652345
15	21139	639483
16	22334	634576
17	23625	632627
18	24888	630073
19	25792	619009
20	26542	605420
21	26883	584104
22	28221	585279
23	29025	575670
24	30397	577560
25	31472	573761
26	32541	570085
27	33711	568283
28	35001	568479
29	35760	560251
30	36441	551328
31	37239	544623
32	38875	550153
33	40201	550996
34	41419	550288
35	42784	551450
36	44095	551795
37	45170	549176
38	46860	553910
39	48268	555082
40	49332	552278
41	50203	547452
42	50845	540376
43	51457	533282
44	52496	530801
45	53938	532352
46	54439	524703
47	55206	519859
48	56465	519709
49	57270	515437
50	58379	513970
51	59830	515463
52	60510	510344
53	61291	506221
54	61893	500774
55	62788	497825
56	63578	494131
57	64583	492174
58	65094	486556
59	66386	486834
60	67649	486857
61	68729	485541
62	69902	484878
63	71298	485718
64	72616	485971
65	73950	486278
66	74987	484622
67	76049	483135
68	76954	480685
69	77838	478152
70	79223	478685
71	80688	479650
72	82344	481659
73	83801	482427
74	85136	482438
75	86489	482521
76	87724	481916
77	89012	481579
78	90354	481506
79	91213	478868
80	92093	476386
81	93415	476191
82	94676	475662
83	96027	475564
84	97573	476389
85	98975	476465
86	100289	476087
87	101672	476012
88	103380	477410
89	104258	474956
90	105106	472402
91	106263	471254
92	107629	471022
93	109055	471027
94	109936	468678
95	111215	468033
96	112557	467634
97	113555	465807
98	114428	463491
99	115299	461196
100	116080	458576
101	117050	456726
102	118384	456297
103	119750	455972
104	120661	453916
105	122080	453772
106	123342	453024
107	124659	452467
108	125981	451915
109	127305	451355
110	128199	449277
111	129101	447244
112	130168	445796
113	131804	446286
114	133380	446533
115	134644	445721
116	136083	445470
117	137419	444867
118	138338	442914
119	139623	442142
120	140663	440590
121	141462	438301
122	142354	436322
123	143660	435617
124	145063	435190
125	146209	433986
126	147209	432355
127	148614	431910
128	149934	431207
129	150995	429755
130	151864	427771
131	152820	426046
132	153655	423995
133	154762	422709
134	156391	422836
135	157830	422427
136	159391	422328
137	160420	420812
138	161416	419218
139	162548	417982
140	163754	416935
141	165132	416319
142	166044	414530
143	166973	412795
144	168100	411556
145	169624	411282
146	170673	409849
147	172146	409428
148	173369	408407
149	174706	407649
150	175952	406672
151	177334	406002
152	178666	405211
153	179206	402633
154	180038	400730
155	180751	398580
156	181400	396307
157	182418	394854
158	183263	393037
159	184688	392462
160	185873	391373
161	187244	390671
162	188856	390457
163	190357	390000
164	191262	388321
165	192333	386985
166	193814	386468
167	194979	385317
168	196441	384747
169	197446	383278
170	198504	381918
171	199882	381171
172	201159	380225
173	202481	379362
174	203396	377735
175	204196	375907
176	204811	373752
177	205688	372087
178	206645	370576
179	208056	369878
180	209445	369134
181	210897	368490
182	211792	366876
183	213060	365907
184	214227	364764
185	215097	363122
186	216205	361884
187	217874	361578
188	219432	361076
189	220479	359728
190	221923	359027
191	223256	358140
192	224722	357459
193	225723	356038
194	226612	354444
195	227444	352771
196	228701	351759
197	230186	351092
198	231495	350152
199	232938	349407
200	234319	348564
201	235632	347615
202	236907	346608
203	238267	345720
204	239396	344497
205	240187	342791
206	241032	341172
207	242024	339765
208	243345	338820
209	245047	338398
210	246624	337793
211	247959	336851
212	249479	336153
213	250636	334963
214	251450	333318
215	252442	331915
216	253402	330474
217	254334	329001
218	255820	328244
219	257379	327573
220	258998	326970
221	260610	326350
222	261912	325334
223	262820	323832
224	263760	322373
225	265037	321328
226	266684	320726
227	268215	319976
228	269969	319484
229	271421	318624
230	272973	317878
231	274665	317286
232	275994	316268
233	276889	314754
234	277485	312909
235	278156	311157
236	278909	309507
237	279824	308042
238	280726	306567
239	282140	305652
240	283543	304720
241	285065	303912
242	286605	303117
243	287964	302126
244	289342	301152
245	290665	300118
246	292048	299143
247	292997	297722
248	293868	296228
249	294775	294775
250	295364	293010
251	296259	291557
252	297229	290180
253	298592	289188
254	300011	288246
255	301679	287537
256	303242	286723
257	304645	285752
258	305784	284533
259	306619	283033
260	307546	281623
261	308406	280155
262	309758	279136
263	311339	278318
264	312878	277458
265	314260	276454
266	315556	275373
267	316886	274319
268	318303	273339
269	319534	272195
270	320374	270722
271	321264	269295
272	322148	267866
273	323013	266427
274	324132	265199
275	325414	264104
276	326792	263085
277	328193	262082
278	329771	261216
279	331272	260285
280	332181	258888
281	333098	257501
282	334080	256167
283	334797	254635
284	336299	253699
285	337827	252779
286	339291	251808
287	340731	250816
288	342037	249722
289	343385	248658
290	344631	247518
291	345796	246320
292	346897	245078
293	347751	243662
294	348658	242288
295	349639	240967
296	351081	239964
297	352391	238869
298	353782	237826
299	355112	236741
300	356259	235533
301	357892	234644
302	359314	233613
303	360808	232626
304	361551	231156
305	362332	229714
306	363146	228297
307	363888	226839
308	364836	225513
309	366247	224474
310	367624	223411
311	368981	222335
312	370403	221295
313	371771	220221
314	373060	219098
315	374020	217783
316	374873	216409
317	375789	215074
318	376666	213719
319	378161	212715
320	379558	211654
321	380892	210555
322	382182	209431
323	383449	208293
324	384441	207006
325	385358	205681
326	386117	204276
327	387088	202985
328	388096	201715
329	389623	200715
330	390962	199615
331	392121	198422
332	393407	197294
333	394772	196204
334	396036	195062
335	396786	193669
336	397540	192282
337	398241	190872
338	399865	189906
339	401555	188967
340	402976	187898
341	404203	186737
342	405073	185412
343	406261	184234
344	407625	183136
345	408992	182037
346	409711	180650
347	410599	179342
348	411554	178065
349	412747	176891
350	414196	175827
351	415498	174698
352	417009	173655
353	418440	172577
354	419779	171459
355	420890	170247
356	422064	169062
357	423413	167946
358	424533	166738
359	425355	165415
360	426306	164145
361	427754	163066
362	429324	162031
363	430792	160955
364	432059	159802
365	433494	158711
366	434471	157451
367	435330	156151
368	436221	154864
369	437247	153627
370	438172	152356
371	439592	151257
372	440983	150147
373	442463	149065
374	443878	147959
375	445041	146769
376	446190	145574
377	447564	144452
378	448967	143338
379	449835	142053
380	450682	140764
381	451441	139450
382	452381	138194
383	453817	137090
384	455297	135998
385	457002	134969
386	458844	133977
387	460394	132897
388	461708	131747
389	462966	130580
390	464395	129460
391	465553	128264
392	466314	126961
393	467173	125686
394	468072	124424
395	468998	123171
396	470295	122016
397	471562	120852
398	472770	119673
399	474257	118564
400	475628	117424
401	476945	116270
402	478172	115093
403	479194	113868
404	480531	112717
405	481344	111444
406	482260	110197
407	483136	108942
408	484078	107704
409	485233	106514
410	486979	105452
411	488605	104362
412	490085	103238
413	491328	102063
414	492766	100928
415	494081	99766
416	495475	98619
417	496048	97310
418	496886	96056
419	497778	94814
420	498643	93569
421	499650	92352
422	501055	91208
423	502560	90081
424	504032	88946
425	505514	87812
426	506943	86667
427	508316	85511
428	509702	84356
429	511046	83193
430	512135	81989
431	513036	80755
432	514289	79578
433	514980	78315
434	515982	77100
435	517456	75956
436	518824	74796
437	520179	73632
438	521475	72460
439	522872	71300
440	523921	70093
